,geo_2,Country,Year,GDP_VALUE,Indicator,Unit_2,primary_energy_consumption,POP_VALUE,Unit_pop,Age class,Sex,GDP_capita,Energy_Intensity,Energy_per_capita
63,FR,France,2010,1996075.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3001.230712890625,64658856,Number,Total,Total,0.030870869413464414,0.0015035660296001013,4.6416390554305893e-05
64,ES,Spain,2011,1070252.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1661.355712890625,46667174,Number,Total,Total,0.022933724249083524,0.0015523031563223514,3.56000925380788e-05
65,DE,Germany,2011,2713540.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3710.584716796875,80222065,Number,Total,Total,0.03382536587658271,0.0013674328587726268,4.625391675964555e-05
66,IT,Italy,2011,1629196.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2020.390869140625,59948497,Number,Total,Total,0.027176609615417045,0.0012401146044045536,3.37021104822799e-05
67,FR,France,2011,2044731.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2897.709716796875,64978721,Number,Total,Total,0.031467701557252876,0.0014171593802788118,4.459474843767508e-05
68,FR,France,2012,2048489.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2894.8583984375,65276983,Number,Total,Total,0.03138150395216641,0.0014131670351108395,4.4347306897402105e-05
69,IT,Italy,2012,1578280.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1959.9749755859373,60105185,Number,Total,Total,0.026258643077132198,0.0012418418978133148,3.260908315290831e-05
70,DE,Germany,2012,2726118.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3761.916259765625,80327900,Number,Total,Total,0.03393737667734374,0.0013799534663484602,4.683200058467388e-05
71,ES,Spain,2012,1039588.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1647.5111083984375,46818219,Number,Total,Total,0.0222047788703795,0.0015847728056151826,3.518952970847604e-05
72,ES,Spain,2013,1024749.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1578.5306396484375,46712650,Number,Total,Total,0.021937310343129752,0.0015404057513432668,3.3792359021559204e-05
73,DE,Germany,2013,2736940.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3868.51708984375,80523746,Number,Total,Total,0.033989238404283875,0.0014134456579564126,4.8041941439780384e-05
74,IT,Italy,2013,1549587.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1863.062744140625,60277309,Number,Total,Total,0.025707635687585193,0.001202296240166574,3.090819373075572e-05
75,FR,France,2013,2064504.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2925.05322265625,65600350,Number,Total,Total,0.03147093117643427,0.00141683090997797,4.4588988056561435e-05
76,IT,Italy,2014,1549565.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1816.3160400390625,60345917,Number,Total,Total,0.02567805208760023,0.0011721453031992078,3.0098408149785222e-05
77,FR,France,2014,2085104.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2797.7822265625,66165980,Number,Total,Total,0.03151323988551216,0.0013417947928950225,4.228430118563195e-05
78,DE,Germany,2014,2796611.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3710.464599609375,80767463,Number,Total,Total,0.03462546793131289,0.001326771701268083,4.594009099443145e-05
79,ES,Spain,2014,1040331.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1554.2188720703125,46495744,Number,Total,Total,0.022374759719943398,0.0014939655962128908,3.3427121245125414e-05
80,ES,Spain,2015,1082577.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1573.1444091796875,46425722,Number,Total,Total,0.023318487109365797,0.0014531470161397088,3.388518996386717e-05
81,DE,Germany,2015,2843119.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3780.85986328125,81197537,Number,Total,Total,0.0350148428763301,0.0013298282144649063,4.6563725981999304e-05
82,FR,France,2015,2107347.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2823.4267578125,66458153,Number,Total,Total,0.03170938710860652,0.0013398013501678154,4.248427966110494e-05
83,IT,Italy,2015,1563289.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1838.4654541015625,60295497,Number,Total,Total,0.02592713681421351,0.0011760235941578338,3.049092462247326e-05
84,IT,Italy,2016,1582615.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1834.5379638671875,60163712,Number,Total,Total,0.026305147195704946,0.0011591812387174493,3.0492433110962095e-05
85,FR,France,2016,2125471.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2766.59716796875,66638391,Number,Total,Total,0.031895596038625844,0.001301639451980695,4.151656614831456e-05
86,DE,Germany,2016,2906299.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3841.451171875,82175684,Number,Total,Total,0.035366902452555186,0.0013217671833380279,4.674681103810465e-05
87,ES,Spain,2016,1114136.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1582.9134521484375,46418884,Number,Total,Total,0.02400179202929566,0.0014207537354927436,3.410063568414177e-05
88,ES,Spain,2017,1146402.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1602.0426025390625,46497393,Number,Total,Total,0.024655193034155698,0.001397452484423933,3.445446075953253e-05
89,DE,Germany,2017,2987615.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3949.555908203125,82521653,Number,Total,Total,0.03620401302431497,0.001321976194457159,4.7860843361961314e-05
90,FR,France,2017,2169757.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2756.22900390625,66809816,Number,Total,Total,0.0324766318769685,0.001270293395837199,4.125485099234894e-05
